iso	lang	lat	area	language	glottocode
bnm	9.751075	2.08708	Africa	Batanga	bata1285
bnl	43.12076	0.41988	Africa	Boon	boon1242
hap	139.16433	-4.36349	Papua	Hupla	hupl1238
haq	30.48943	-3.77873	Africa	Ha	haaa1252
har	42.13324	9.30485	Africa	Harari	hara1271
has	-128.60159	53.96401	North America	Haisla	hais1244
bng	9.40336	0.8897	Africa	Benga	beng1282
bnf	130.60114	-3.29547	Papua	Masiwang	masi1266
bne	123.48582	0.75069	Papua	Bintauna	bint1245
haw	-155.42995	19.62965	Papua	Hawaiian	hawa1245
NOCODE_Miisiirii			Africa	Miisiirii	miis1236
ola	87.23742	27.69502	Eurasia	Walungge	walu1241
old	37.33568	-3.33743	Africa	Mochi	moch1256
ole	90.55462	27.20788	Eurasia	Olekha	olek1239
olm	6.02767	7.01279	Africa	Oloma	olom1241
olo	29.072645	61.656535	Eurasia	Livvi	livv1243
umu	-81.91658	42.59677	North America	Munsee	muns1251
ump	143.46729	-13.15275	Australia	Umpila	umpi1239
for	145.5065	-6.64473	Papua	Fore	fore1270
fos	120.31451	22.97767	Papua	Sirayaic	sira1267
fod	1.40486	9.56489	Africa	Foodo	food1238
umd	143.32815	-13.921	Australia	Umbindhamu	umbi1243
umg	143.6305	-14.25876	Australia	Umbuygamu	umbu1256
uma	-118.55167	45.63915	North America	Umatilla	umat1237
umb	14.41483	-12.47635	Africa	Umbundu	umbu1257
umm	8.10335	5.37438	Africa	Umon	umon1238
fom	24.32023	0.88032	Africa	Foma	foma1238
fon	1.664945	7.154835	Africa	Fon	fonn1241
umn			Eurasia	Makyan Naga	maky1235
umi	114.57932	1.56623	Papua	Ukit	ukit1237
foi	143.49539	-6.47258	Papua	Foi	foii1241
mbl	-40.78912	-16.94017	South America	Maxakali	maxa1247
mbm	13.61701	-2.75341	Africa	NA	NA
mbn	-71.2671	6.34582	South America	Macaguan	maca1259
mbo	9.92766	5.13981	Africa	Mbo (Cameroon)	mboc1235
mbh	150.67987	-5.89752	Papua	Mangseng	mang1403
mbi	124.76579	7.34448	Papua	Ilianen Manobo	ilia1236
mbj	-66.30681	-1.24449	South America	Nadab	nade1244
mbk	142.24388	-3.11695	Papua	Malol	malo1245
mbd	126.01817	7.85664	Papua	Dibabawon Manobo	diba1242
mbe	-122.857	44.556	North America	Molale	mola1238
mbf	103.07599	1.754135	Eurasia	Baba Malay	baba1267
soj	54.59641	31.85423	Eurasia	Soic	soii1239
som	45.152856	4.778704	Africa	Somali	soma1255
mba	125.07083	8.61202	Papua	Higaonon	higa1237
mbb	124.82468	7.6682	Papua	Western Bukidnon Manobo	west2555
mbc	-60.2208766667	4.31861333333	South America	Macushi	macu1259
soq	149.75093	-10.16585	Papua	Kanasi	kana1288
sop	25.27647	-5.71993	Africa	Songe	song1303
sos	-4.58203	11.12852	Africa	Seeku	seek1238
sor	16.67839	9.65897	Africa	Somrai	somr1248
mbx	142.96345	-4.46436	Papua	Mari (East Sepik Province)	mari1432
mby	67.007	24.853	Eurasia	Memoni	memo1238
mbz	-97.45179	16.65209	North America	Amoltepec Mixtec	amol1236
sov	134.56514	7.47282	Papua	Sonsorol	sons1242
mbt	125.15971	7.72124	Papua	Matigsalug Manobo	mati1250
mbu	12.24389	9.60769	Africa	Mbula-Bwazza	mbul1260
mbv	-14.73717	10.85525	Africa	Mbulungish	mbul1258
mbw	144.64232	-5.44015	Papua	Maring	mari1435
mbp	-73.40561	10.92861	South America	Malayo	mala1522
mbq	148.73057	-9.22853	Papua	Maisin	mais1250
mbr	-71.46289	2.65939	South America	Nukak Maku	nuka1242
mbs	125.49902	5.84903	Papua	Sarangani Manobo	sara1327
azj	46.4736975	40.977675	Eurasia	North Azerbaijani	nort2697
azm	-98.01287	16.50531	North America	Ipalapa Amuzgo	ipal1235
azn			North America	Western Durango Nahuatl	west2778
azo	10.26405	5.88362	Africa	Awing	awin1248
aza	104.15	23.9	Eurasia	Azha	azha1235
azb	48.43018	36.513664	Eurasia	South Azerbaijani	sout2697
azd			North America	Eastern Durango Nahuatl	east2695
azg	-98.04643	16.51976	North America	San Pedro Amuzgos Amuzgo	sanp1260
azz	-97.55562	20.15536	North America	Highland Puebla Nahuatl	high1278
azt	121.43626	17.98083	Papua	Faire Atta	fair1238
