id	glottocode
1324	aulu1238
1325	urip1239
1326	port1285
1327	vaoo1237
1328	paiw1248
1329	mato1252
1330	mbul1263
1331	dobe1238
1332	kola1285
1333	tami1290
1334	pate1247
1335	mang1403
1336	bari1286
1337	woge1237
1338	batu1258
1339	ujir1237
1340	labe1239
1341	ramo1244
1342	surs1246
1343	mala1489
1344	mari1428
1345	mala1487
1346	wabb1237
1347	awad1244
1348	ronj1237
1349	unea1237
1350	mato1252
1351	taki1248
1352	kumu1247
1353	mind1255
1354	sial1240
1355	sioo1240
1356	mala1487
1357	kina1251
1358	mutu1242
1359	gitu1237
1360	arop1242
1361	bebe1252
1362	galo1243
1363	ford1242
1364	irar1238
1365	naue1237
1366	tetu1245
1367	tuku1254
1368	waim1252
1369	dumb1241
1371	kani1282
1372	seim1238
1373	wuvu1239
1374	sori1242
1375	herm1237
1376	nyin1250
1377	pona1250
1378	andr1248
1379	andr1248
1380	nali1245
1381	leip1237
1382	kele1258
1383	moke1240
1384	bipi1237
1385	kheh1237
1386	tulu1259
1387	pakt1239
1388	tita1241
1389	balu1257
1390	muss1246
1391	avau1237
1392	hote1245
1393	nyin1250
1394	siss1243
1395	akol1237
1396	malf1237
1397	lete1241
1398	axam1237
1399	malf1237
1400	axam1237
1402	malf1237
1403	mask1242
1404	nasv1234
1405	lete1241
1406	malf1237
1407	axam1237
1408	nasv1234
1409	axam1237
1410	axam1237
1412	mask1242
1413	axam1237
1414	mask1242
1416	nasv1234
1417	mask1242
1418	axam1237
1419	mask1242
1420	nasv1234
1421	axam1237
1422	east2464
1423	anuk1239
1424	sina1266
1425	buhu1237
1426	buna1276
1427	bwai1242
1428	dawa1242
1429	dobu1241
1430	meke1243
1431	gapa1238
1432	ghay1237
1433	guma1254
1434	hula1239
1435	iama1237
1436	idun1242
1437	kili1267
1438	kolu1245
1439	lala1268
1440	mais1250
1441	mina1269
1442	misi1243
1443	moli1248
1444	motu1246
1445	muyu1244
1446	meke1243
1447	cent2070
1448	nort2848
1449	papu1253
1450	suau1243
1451	waim1251
1452	sali1295
1453	sina1266
1454	sewa1251
1455	suau1242
1456	sude1239
1457	tawa1275
1458	bwan1241
1459	weda1241
1460	auhe1237
1461	oyao1237
1462	roon1237
1463	isin1239
1464	suba1253
1465	mano1276
1466	sama1302
1468	nort3171
1469	keny1280
1470	main1275
1472	main1275
1473	main1275
1474	main1275
1475	main1275
1480	nyal1254
1481	ansu1237
1482	ajie1238
1483	xara1244
1484	arho1237
1485	arha1237
1486	iaai1238
1487	dumb1241
1488	jawe1237
1489	nume1242
1490	kuma1276
1491	caac1237
1492	neku1237
1493	kuma1276
1494	neng1238
1495	nemi1240
1496	paic1239
1497	pije1237
1498	fwai1237
1499	pwaa1237
1500	pwap1237
1501	zire1240
1502	waam1236
1503	cemu1238
1504	tiri1258
1505	yuag1237
1506	bala1316
1507	vama1243
1508	hmwa1243
1509	nyal1254
1510	yuag1237
1511	orow1242
1512	xara1243
1513	haek1239
1514	have1241
1515	dehu1237
1516	sira1267
1517	sira1267
1518	sira1267
1519	sira1267
